City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
81,Mahebourg,MU,-20.41,57.7,75.2,73,75,14.99,shower rain
82,Clyde River,CA,70.47,-68.59,15.8,78,20,8.05,few clouds
83,Hermanus,ZA,-34.42,19.23,61.0,79,98,13.62,overcast clouds
84,Chapais,CA,49.78,-74.85,28.4,68,75,8.05,broken clouds
85,Sitka,US,57.05,-135.33,42.8,75,90,12.75,light rain
86,Provideniya,RU,64.38,-173.3,33.21,91,100,3.65,overcast clouds
87,Porto Novo,BJ,6.5,2.6,80.6,88,40,5.82,thunderstorm
88,Ust-Nera,RU,64.57,143.2,5.85,87,57,4.41,broken clouds
89,Hervey Bay,AU,-25.3,152.85,73.99,91,1,4.0,light rain
90,Lompoc,US,34.64,-120.46,66.2,59,90,9.17,overcast clouds
91,Ust-Kuyga,RU,70.02,135.6,2.95,91,0,8.14,clear sky
92,Yatou,CN,37.15,122.38,52.52,81,16,1.88,few clouds
93,Bandarbeyla,SO,9.49,50.81,76.24,78,1,12.71,clear sky
94,Mar Del Plata,AR,-38.0,-57.56,63.0,100,90,3.36,mist
95,Pisco,PE,-13.7,-76.22,69.8,68,0,17.22,clear sky
96,Bethel,US,41.37,-73.41,52.0,48,40,5.82,scattered clouds
97,College,US,64.86,-147.8,30.0,85,75,3.42,broken clouds
98,Ponta Do Sol,PT,32.67,-17.1,66.2,72,20,3.36,few clouds
99,Faya,SA,18.39,42.45,64.4,67,0,9.17,clear sky
100,Aberdeen,GB,57.14,-2.1,48.99,76,75,18.34,broken clouds
101,Scottsbluff,US,41.87,-103.67,15.8,78,90,13.87,haze
102,Avera,US,33.19,-82.53,81.0,78,90,4.7,overcast clouds
103,Nikolskoye,RU,59.7,30.79,42.8,93,90,4.47,overcast clouds
104,Thompson,CA,55.74,-97.86,26.6,53,90,13.87,light snow
105,Klaksvik,FO,62.23,-6.59,44.6,87,0,8.05,clear sky
106,Loukhi,RU,66.08,33.04,28.33,97,100,3.49,overcast clouds
107,Masumbwe,TZ,-3.63,32.18,72.75,62,47,1.92,light rain
108,Mancio Lima,BR,-7.61,-72.9,95.76,39,81,3.96,broken clouds
109,Boca Do Acre,BR,-8.75,-67.4,90.61,48,61,5.23,broken clouds
110,Haverfordwest,GB,51.8,-4.97,52.0,81,29,18.34,scattered clouds
111,Khatanga,RU,71.97,102.5,6.35,95,90,9.93,overcast clouds
112,Hasaki,JP,35.73,140.83,50.0,100,75,1.12,broken clouds
113,Rosetta,EG,31.4,30.42,77.0,69,40,10.29,scattered clouds
114,Imeni Poliny Osipenko,RU,52.42,136.49,30.29,94,0,3.13,clear sky
115,Pangnirtung,CA,66.15,-65.71,17.6,78,20,3.36,few clouds
116,Banjar,ID,-8.19,114.97,78.8,94,20,2.24,few clouds
117,Portland,US,45.52,-122.68,46.0,28,20,17.22,few clouds
118,Port Lincoln,AU,-34.73,135.87,51.84,63,60,15.88,broken clouds
119,Hailey,US,43.52,-114.32,28.4,50,5,10.29,clear sky
120,Nanortalik,GL,60.14,-45.24,35.49,84,100,16.49,overcast clouds
121,Comodoro Rivadavia,AR,-45.87,-67.5,68.0,31,40,20.8,scattered clouds
122,Tuatapere,NZ,-46.13,167.68,46.99,97,82,5.7,broken clouds
123,Necochea,AR,-38.55,-58.74,62.01,92,100,5.01,overcast clouds
124,Alamos,MX,27.02,-108.93,93.99,42,0,4.0,clear sky
125,Lebu,CL,-37.62,-73.65,54.16,59,0,9.62,clear sky
126,Tucupita,VE,9.06,-62.05,84.42,68,97,6.67,overcast clouds
127,Aklavik,CA,68.22,-135.01,24.8,79,75,23.04,broken clouds
128,Hambantota,LK,6.12,81.12,78.8,81,100,12.1,overcast clouds
129,Zhigansk,RU,66.77,123.37,-1.91,88,0,5.23,clear sky
130,Saskylakh,RU,71.92,114.08,8.87,93,100,12.17,overcast clouds
131,Horn Lake,US,34.96,-90.03,57.2,82,90,6.93,overcast clouds
132,Vila Velha,BR,-20.33,-40.29,75.0,94,90,8.05,light rain
133,Lixourion,GR,38.2,20.43,62.6,82,20,2.24,few clouds
134,Esmeraldas,BR,-19.76,-44.31,69.8,94,75,5.82,fog
135,Esperance,AU,-33.87,121.9,53.6,71,0,17.22,clear sky
136,Olafsvik,IS,64.89,-23.71,42.75,82,100,27.51,overcast clouds
