City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,San Quintin,MX,2020-10-25 03:00:17,30.48,-115.95,64.38,83,100,8.81
70,Codrington,AU,2020-10-25 02:57:38,-38.27,141.97,52.61,65,79,23.35
71,Kavieng,PG,2020-10-25 02:57:36,-2.57,150.8,85.1,67,34,2.84
72,Bumba,CD,2020-10-25 03:03:09,2.18,22.47,72.16,97,100,1.3
73,Mackay,AU,2020-10-25 03:01:08,-21.15,149.2,84.2,66,9,17.22
74,Naze,JP,2020-10-25 02:56:58,28.37,129.48,75.2,53,20,12.75
75,Sheopur,IN,2020-10-25 03:03:10,25.67,76.7,76.89,38,0,4.07
76,Fort Nelson,CA,2020-10-25 02:58:01,58.81,-122.7,24.8,53,40,3.36
77,Tura,IN,2020-10-25 02:58:20,25.52,90.22,75.27,93,38,5.79
78,Saint George,US,2020-10-25 02:57:37,37.1,-113.58,73.4,33,53,0.36
79,Castro,BR,2020-10-25 02:57:23,-24.79,-50.01,61.21,93,91,3.38
80,Georgetown,MY,2020-10-25 02:53:52,5.41,100.34,84.2,78,40,10.42
81,Chhabra,IN,2020-10-25 03:03:12,24.67,76.83,77.76,37,0,3.78
82,Barabash,RU,2020-10-25 03:03:12,43.2,131.48,53.6,32,0,13.42
83,Avarua,CK,2020-10-25 02:56:35,-21.21,-159.78,75.2,73,48,14.99
84,Upernavik,GL,2020-10-25 02:57:27,72.79,-56.15,21.13,92,85,7.67
85,Tilichiki,RU,2020-10-25 02:56:27,60.47,166.1,34.66,85,13,1.3
86,Trinidad,BO,2020-10-25 03:03:13,-14.83,-64.9,85.69,52,95,3.85
87,Dengzhou,CN,2020-10-25 03:03:13,37.81,120.75,66.99,30,71,9.35
88,Half Moon Bay,US,2020-10-25 02:56:07,37.46,-122.43,60.8,87,90,4.07
89,Mount Isa,AU,2020-10-25 02:59:34,-20.73,139.5,84.2,30,0,9.17
90,Haines Junction,CA,2020-10-25 02:59:14,60.75,-137.51,25.45,76,100,1.63
91,Bethel,US,2020-10-25 02:56:54,41.37,-73.41,46.0,79,53,1.99
92,Rawah,IQ,2020-10-25 03:03:14,34.48,41.91,61.74,31,0,2.95
93,Astoria,US,2020-10-25 03:01:01,46.19,-123.83,48.2,70,75,10.29
94,Souillac,MU,2020-10-25 02:55:45,-20.52,57.52,69.8,88,75,12.75
95,Puerto Ayora,EC,2020-10-25 02:57:45,-0.74,-90.35,66.99,95,99,4.0
