City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
292,Atambua,ID,75.88,overcast clouds,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
299,Boyolangu,ID,75.7,overcast clouds,-8.12,111.89,Yos ega cv
303,Binga,ZW,78.3,clear sky,-17.62,27.34,Lakeview Inn Binga
309,Sulangan,PH,79.9,light rain,11.14,123.72,Maia's Beach Resort
319,Dicabisagan,PH,80.76,light rain,17.08,122.42,Nancy Montanes Bernardo
322,Pathein,MM,75.18,broken clouds,16.78,94.73,Pathein Hotel
324,Porbandar,IN,81.68,clear sky,21.64,69.61,Lords Inn Porbandar
325,Touros,BR,84.2,scattered clouds,-5.2,-35.46,INN NEW HORIZON
326,Lubao,PH,78.8,moderate rain,14.92,120.55,Hacienda Gracia
327,Cockburn Town,TC,83.48,overcast clouds,21.46,-71.14,Osprey Beach Hotel
332,Angoche,MZ,78.1,overcast clouds,-16.23,39.91,Guest House HESADA
333,Kunnamangalam,IN,77.0,mist,11.3,75.88,Hotel Monad
336,Tiarei,PF,82.4,shower rain,-17.53,-149.33,Le Rocher de Tahiti
337,Ternate,ID,80.46,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
347,Santa Isabel Do Rio Negro,BR,81.39,light rain,-0.41,-65.02,Hotel GSA
350,Arinos,BR,82.74,scattered clouds,-15.92,-46.11,Hotel Dias
355,Fare,PF,80.11,light rain,-16.7,-151.02,Maitai Lapita Village Huahine
356,Beira,MZ,75.2,clear sky,-19.84,34.84,Beira Terrace Hotel
357,Banda Aceh,ID,80.28,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
363,Kilifi,KE,80.6,few clouds,-3.63,39.85,Baobab Sea Lodge-Kilifi
368,Barra Patuca,HN,81.39,light rain,15.8,-84.28,
370,Waingapu,ID,78.69,overcast clouds,-9.66,120.26,Pondok Wisata Elim
374,Mamallapuram,IN,80.6,moderate rain,12.63,80.17,Radisson Blu Resort Temple Bay Mamallapuram
379,Dunmore Town,BS,81.3,overcast clouds,25.5,-76.65,Coral Sands Hotel
384,Srivardhan,IN,78.06,light rain,18.03,73.02,Savli Resort/Hotel - Shrivardhan
385,Cayenne,GF,86.0,clear sky,4.93,-52.33,Hôtel Le Dronmi
386,Varkkallai,IN,80.6,mist,8.73,76.71,SPOT ON 72723 Pathanjali Ayurveda Yoga Centre( Dreams Beach Resort)
387,Imbituba,BR,77.0,broken clouds,-28.24,-48.67,Praia Hotel Imbituba
392,Tabou,CI,78.46,overcast clouds,4.42,-7.35,hotêl doufoulougou
395,Kulhudhuffushi,MV,79.54,moderate rain,6.62,73.07,Haajy Guest House 1
400,Cardenas,CU,84.2,light rain,23.04,-81.2,Casa JF 1906
402,Lorengau,PG,81.81,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
403,Sal Rei,CV,82.4,clear sky,16.18,-22.92,Marine Club Beach Resort
404,Itarema,BR,82.29,overcast clouds,-2.92,-39.92,Windvillage
410,Bukama,CD,77.81,scattered clouds,-9.2,25.85,
415,Inhambane,MZ,75.2,few clouds,-23.86,35.38,Oceano
417,Tchollire,CM,76.42,clear sky,8.4,14.17,"Auberge ""l'amicale"""
423,Coeneo,MX,75.99,scattered clouds,19.82,-101.58,
430,Monrovia,LR,82.4,broken clouds,6.3,-10.8,Eco-Hotel Hall & Restaurant
433,Puerto Escondido,MX,86.0,scattered clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
436,Mariental,,83.01,overcast clouds,-24.63,17.97,Mariental Hotel
437,Acapulco,MX,87.8,scattered clouds,16.86,-99.89,HS Hotsson Smart Acapulco
441,Port Blair,IN,79.2,moderate rain,11.67,92.75,Fortune Resort Bay Island
442,Hirara,JP,75.42,overcast clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
443,Sabang,ID,81.75,light rain,5.89,95.32,Hotel Citra
450,Timbiqui,CO,80.37,moderate rain,2.77,-77.67,hotel diana
451,Estacion Coahuila,MX,81.0,clear sky,32.19,-115.0,carroceria y pintura Kikones
453,Mahibadhoo,MV,82.26,overcast clouds,3.78,72.97,Omadhoo Inn
458,Nicoya,CR,78.8,light rain,10.15,-85.45,Guayacan Real
460,Weligama,LK,77.99,overcast clouds,5.97,80.42,Weligama Bay Resort
467,Bac Lieu,VN,76.73,scattered clouds,9.29,105.72,Khách sạn Sài Gòn Bạc Liêu
469,Puri,IN,77.0,haze,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
473,Kudahuvadhoo,MV,82.15,broken clouds,2.67,72.89,Kudahuvadhoo Retreat
474,Niamey,NE,89.6,clear sky,13.51,2.11,Soluxe Hotel Niamey
477,Sri Aman,MY,75.2,overcast clouds,1.24,111.46,Seri Simanggang Hotel
480,Isangel,VU,75.85,clear sky,-19.55,169.27,Volcano Sea View Tree House
492,Calabozo,VE,84.7,broken clouds,8.92,-67.43,Hotel Giardini
497,Paracatu,BR,81.01,few clouds,-17.22,-46.87,Hotel Paracatu Plaza
499,Brandon,US,89.6,broken clouds,27.94,-82.29,Embassy Suites by Hilton Tampa Brandon - OPEN
500,Chegutu,ZW,75.83,clear sky,-18.13,30.14,Jacaranda Lodge
502,Mbini,GQ,78.8,overcast clouds,1.57,9.61,
503,Treinta Y Tres,UY,76.14,overcast clouds,-33.23,-54.38,Jardines Apart-Hotel
504,Townsville,AU,75.2,few clouds,-19.25,146.8,Rydges Southbank Townsville
509,Paragominas,BR,89.13,overcast clouds,-2.97,-47.48,HOTEL RODA VIVA
514,Kununurra,AU,78.8,broken clouds,-15.77,128.73,Hotel Kununurra
517,Nouadhibou,MR,75.2,overcast clouds,20.93,-17.03,El Medina
518,Conceicao Do Almeida,BR,80.83,broken clouds,-12.78,-39.17,Pousada Caldas e Andrada
519,Ambon,ID,75.99,broken clouds,-3.7,128.18,Swiss-Belhotel Ambon
521,Tarabuco,BO,75.2,broken clouds,-19.17,-64.92,
526,Mogadishu,SO,80.22,light rain,2.04,45.34,Hotel Juba
527,Suarez,CO,77.49,light rain,2.95,-76.7,Hotel Estrella Dorada
531,Qui Nhon,VN,75.61,overcast clouds,13.77,109.23,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
535,Wankaner,IN,81.27,few clouds,22.62,70.93,Royal Oasis
542,Marana,US,84.0,broken clouds,32.44,-111.23,Valley of the Sun Mobile Home & RV Park
543,Acarau,BR,83.05,broken clouds,-2.89,-40.12,castelo pizzaria
